〇,0; zéro,ling2
不论,"n'importe (qui, quoi, quel, comment); quelque...que; sans se soucier de",bu4 lun4
不识大体,(expr. idiom.) être incapable d'une vue d'ensemble; manquer d'esprit de synthèse; avoir une vue bornée,bu4 shi2 da4 ti3
不识字,analphabète,bu4 shi2 zi4
不识抬举,ne pas savoir apprécier les faveurs qu'on lui accorde,bu4 shi2 tai2 ju3
不识时务,méconnaître ce qui caractérise l'époque où l'on vit; ne pas connaître l'esprit de l'époque; ne pas être sensible; manquer de profiter d'une bonne chance,bu4 shi2 shi2 wu4
不诚实,déloyauté,bu4 cheng2 shi2
不该,ne devrait pas; ne rien devoir,bu4 gai1
不详,non détaillé; peu clair,bu4 xiang2
不调和,disparité; désharmonie; discordance; disparate; disparité; dissonance; dysharmonie; détonner; discorder; clash,bu4 tiao2 he2
不谋而合,tomber d'accord sans s'être concertés; tomber d'accord sans consultation préalable; tomber d'accord sans consultation préalable; Il se trouve que nous sommes d'accord sur ce point,bu4 mou2 er2 he2
不谓,ne peut être considéré; de façon inattendue,bu4 wei4
不谢,ne pas mentionner; ne pas parler de,bu4 xie4
不象话,déraisonnable; choquant; scandaleux; outrageux,bu4 xiang4 hua4
不负责任,irresponsable,bu4 fu4 ze2 ren4
不费吹灰之力,sans le moindre effort; être aussi facile que de souffler la poussière; chose aisée,bu4 fei4 chui1 hui1 zhi1 li4
不赖,pas mal; bon,bu4 lai4
不赞一词,garder le silence; ne faire aucun commentaire,bu4 zan4 yi1 ci2
不赞成,désapprouver; désapprobation; désapprouver,bu4 zan4 cheng2
不起,(placé après un verbe) ne pouvoir se permettre de,bu4 qi3
不起眼,discret; insignifiant; inaperçu; non-accrocheur,bu4 qi3 yan3
不足,ne pas valoir; insuffisant; pas assez,bu4 zu2
不足为外人道,(expr. idiom.) gardons cela entre nous,bu4 zu2 wei2 wai4 ren2 dao4
不足为奇,(expr. idiom.) pas du tout surprenant,bu4 zu2 wei2 qi2
不足齿数,ne vaut pas le coup d'être mentionné; ne vaut pas le coup d'être considéré,bu4 zu2 chi3 shu4
不轨,acte contre la loi ou la discipline,bu4 gui3
不辍,incessant; implacable,bu4 chuo4
不辞劳苦,ne ménager aucun effort,bu4 ci2 lao2 ku3
不辞而别,anglaise,bu4 ci2 er2 bie2
不辨菽麦,(expr. idiom.) être incapable de distinguer les haricots du blé; être d'une ignorance crasse dans le domaine pratique,bu4 bian4 shu1 mai4
不过,mais; néanmoins; seulement; pas plus que,bu4 guo4
不过尔尔,(expr. idiom.) Rien de plus que cela ?; pas terrible; rien moins que médiocre; rien qui sorte de l'ordinaire,bu4 guo4 er3 er3
不近人情,déshumanisation,bu4 jin4 ren2 qing2
不远,non loin (de); proche; près (de); à proximité (de),bu4 yuan3
不远千里,aller à la peine en voyageant une longue distance,bu4 yuan3 qian1 li3
不连续,discontenu; discret,bu4 lian2 xu4
不迭,ne pas être en mesure de; sans cesse; continuellement,bu4 die2
不适,agacement,bu4 shi4
不适合,inapproprié,bu4 shi4 he2
不适应,inadapté; qui ne convient pas,bu4 shi4 ying4
不适当,disconvenance,bu4 shi4 dang4
不适用,non applicable; NA,bu4 shi4 yong4
不逊,insolence,bu4 xun4
不透明,opacité,bu4 tou4 ming2
不透气,hermétique,bu4 tou4 qi4
不透水,étanche; imperméable,bu4 tou4 shui3
不通,être obstrué; être bouché; être incompréhensible; être illogique; être peu grammatical,bu4 tong1
不速之客,the visitor,bu4 su4 zhi1 ke4
不遂,échouer,bu4 sui4
不道德,déshonnêteté,bu4 dao4 de2
不遗余力,faire de son mieux; ne pas épargner ses efforts,bu4 yi2 yu2 li4
不避艰险,braver les épreuves et les danger; défier les difficultés et le danger; braver peine et dange,bu4 bi4 jian1 xian3
不重要,insignifiance,bu4 zhong4 yao4
不锈钢,acier inoxydable,bu4 xiu4 gang1
不锈铁,fer inoxydable,bu4 xiu4 tie3
不错,correct; pas mal; assez bien,bu4 cuo4
不问,ne pas prêter attention à; ignorer; ne tenir aucun compte de; sans chercher à savoir; laisser aller impunément,bu4 wen4
不间断电源,Alimentation sans interruption,bu4 jian1 duan4 dian4 yuan2
不闻不问,se boucher les yeux et les oreilles; laisser tout aller; fermer les yeux sur,bu4 wen2 bu4 wen4
不雅,indécent; moralement offensant,bu4 ya3
不需要,inutile; pas nécessaire,bu4 xu1 yao4
不露声色,ne pas laisser paraître ses sentiments; n'avoir l'air de rien; comme si de rien n'était,bu4 lu4 sheng1 se4
不顺,défavorable; adverse,bu4 shun4
不顾,au mépris de; sans se soucier de,bu4 gu4
不顾一切,envers et contre tous,bu4 gu4 yi1 qie4
不饱和,non saturé,bu4 bao3 he2
不高兴,malheureux; insatisfait,bu4 gao1 xing4
不齿,ne pas mériter qu'on en parle; négligeable,bu4 chi3
与,et; s'allier; offrir; donner,yu3
与,(particule exprimant le doute),yu2
与,prendre part à,yu4
与人为善,être au service des autres; bienveillant,yu3 ren2 wei2 shan4
与众不同,"(expr. idiom.) être différent de tous, des autres, de tout le monde",yu3 zhong4 bu4 tong2
与会,participer à une réunion,yu4 hui4
与其,plutôt que,yu3 qi2
与否,ou non (à la fin d'une phrase),yu3 fou3
与日俱增,augmenter chaque jour davantage; aller croisant,yu3 ri4 ju4 zeng1
与时俱进,à côté des développement modernes; nous garder avec le temps; progressif; dans les délais,yu3 shi2 ju1 jin4
与格,Datif,yu3 ge2
与此同时,en même temps,yu3 ci3 tong2 shi2
与生俱来,inhérent; inné,yu3 sheng1 ju4 lai2
丏,caché; masqué,mian3
丐,mendiant,gai4
丐帮,groupe de mendiants,gai4 bang1
丑,honteux; laid; vilain; bouffon; le 2e des 12 Rameaux terrestres,chou3
丑事,scandale; laideur,chou3 shi4
丑八怪,laideron; vilain boudin (argot),chou3 ba1 guai4
丑剧,drame absurde; farce; spectacle irrespectueux,chou3 ju4
丑化,enlaidir; vilipender,chou3 hua4
丑态,attitude peu reluisante; manières gauches; vilaine conduite,chou3 tai4
丑恶,hideux; laid,chou3 e4
丑时,de 1 à 3 heures,chou3 shi2
丑行,asexué; asexuée (reproduction),chou3 xing2
丑角,bouffon; clown,chou3 jue2
丑闻,scandale,chou3 wen2
丑陋,laid; vil,chou3 lou4
丑陋的,Feo,chou3 lou4 de5
专,spécial; spécialisé; expert,zhuan1
专一,concentré; appliqué; constant,zhuan1 yi1
专业,professionnel; spécialité,zhuan1 ye4
专业人员,professionnel (n.m.),zhuan1 ye4 ren2 yuan2
专业人才,expert,zhuan1 ye4 ren2 cai2
专业化,spécialisation,zhuan1 ye4 hua4
专业性,professionnalisme; expertise,zhuan1 ye4 xing4
专业技术,professionnel et technique,zhuan1 ye4 ji4 shu4
专业版,version professionnel,zhuan1 ye4 ban3
专业知识,connaissance spécialisée,zhuan1 ye4 zhi1 shi5
专事,spécialisé,zhuan1 shi4
专人,personne désignée pour,zhuan1 ren2
专任,à temps plein,zhuan1 ren4
专利,brevet,zhuan1 li4
专利产品,produit breveté; service exclusif,zhuan1 li4 chan3 pin3
专利权,Brevet,zhuan1 li4 quan2
专利法,Brevet,zhuan1 li4 fa3
专利证书,Lettre patente,zhuan1 li4 zheng4 shu1
专制,despotisme; dictature; tyrannie; arbitraire; autoritarisme; absolu,zhuan1 zhi4
专区,préfecture,zhuan1 qu1
专卖,monopole public,zhuan1 mai4
专卖店,magasin spécialisé,zhuan1 mai4 dian4
专名,nom propre,zhuan1 ming2
专员,fonctionnaire chargé d'une mission spéciale; commissaire; préfet,zhuan1 yuan2
专场,représentation exceptionnelle,zhuan1 chang3
专家,expert; spécialiste,zhuan1 jia1
专家委员会,Comité d'experts,zhuan1 jia1 wei3 yuan2 hui4
专家组,Goe,zhuan1 jia1 zu3
专属,exclusif,zhuan1 shu3
专属经济区,zone économique exclusive,zhuan1 shu3 jing1 ji4 qu1
专心,se concentrer sur; concentration,zhuan1 xin1
专擅,sans autorisation; agir sur sa propre initiative,zhuan1 shan4
专政,dictature,zhuan1 zheng4
专断,décision arbitraire,zhuan1 duan4
专有,logiciel propriétaire,zhuan1 you3
专机,avion spécial,zhuan1 ji1
专权,autocratie; dictature,zhuan1 quan2
专柜,comptoir de vente dédiée à un certain type de produit,zhuan1 gui4
专栏,rubrique; chronique,zhuan1 lan2
专案,Projet,zhuan1 an4
专案组,équipe d'enquête spéciale (juridique ou judiciaire),zhuan1 an4 zu3
专横,tyrannique; despotique,zhuan1 heng4
专注,se vouer à; s'adonner corps et âme à,zhuan1 zhu4
专用,spécifique; dédié,zhuan1 yong4
专科,spécialité; faculté,zhuan1 ke1
专科学校,école spéciale; école professionnelle,zhuan1 ke1 xue2 xiao4
专程,dans ce but précis; spécialement,zhuan1 cheng2
专线,Ligne dédiée,zhuan1 xian4
专职,professionnel,zhuan1 zhi2
专营店,boutique franchisée; magasin autorisé,zhuan1 ying2 dian4
专营权,exclusivité,zhuan1 ying2 quan2
专著,monographie; texte spécialisé,zhuan1 zhu4
专访,interview exclusive,zhuan1 fang3
专辑,album,zhuan1 ji2
专辑名称,nom de l'album,zhuan1 ji2 ming2 cheng1
专递,livraison spéciale; courrier,zhuan1 di4
专长,spécialité; point fort; métier,zhuan1 chang2
专门,spécial; spécialisé,zhuan1 men2
专门化,spécialisation; spécialiser,zhuan1 men2 hua4
专项,spécial; dédié,zhuan1 xiang4
专题,sujet spécial; thème,zhuan1 ti2
且,à la fois; pour le moment; longtemps,qie3
且不说,sans parler; en laissant de côté,qie3 bu4 shuo1
且慢,attendre un moment; ne pas aller trop vite,qie3 man4
且说,ainsi,qie3 shuo1
丕,grand,pi1
丕变,changement radical,pi1 bian4
世,vie; génération; monde,shi4
世上,dans le monde; sur terre,shi4 shang4
世事,les affaires de la vie humaine; les événements du monde,shi4 shi4
世交,vieil ami de la famille,shi4 jiao1
世人,gens du monde; le grand public,shi4 ren2
世仇,dissension(querelle)de familles; haine héréditaire; vendetta,shi4 chou2
世代,génération,shi4 dai4
世俗,usages du monde; murs du temps; laïque; profane; vulgaire; mondain; philistin,shi4 su2
世博,Exposition internationale,Shi4 bo2
世博会,Exposition universelle,Shi4 bo2 hui4
世卫,Organisation mondiale de la santé,Shi4 wei4
世外桃源,paradis aux fleurs de pêchers; retraite utopique; asile tranquille en des temps troublés; oasis de paix,shi4 wai4 tao2 yuan2
世家,ancienne famille honorable; vieille famille de mandarins,shi4 jia1
世尊,Gautama Bouddha,shi4 zun1
世态,facon (ou manière) du monde envers les gens; comportement des gens du monde,shi4 tai4
世故,connaissance des usages du monde; expérience de la vie; entregent; savoir-vivre,shi4 gu5
世界,monde (univers),shi4 jie4
世界上,mondialement,shi4 jie4 shang4
世界之窗,Window of the World,shi4 jie4 zhi1 chuang1
世界博览会,Exposition universelle,Shi4 jie4 Bo2 lan3 hui4
世界卫生组织,Organisation mondiale de la santé,Shi4 jie4 Wei4 sheng1 Zu3 zhi1
世界历史,Histoire du monde,shi4 jie4 li4 shi3
世界各地,partout dans le monde; partout; dans toutes les régions du monde,shi4 jie4 ge4 di4
世界和平,Paix dans le monde,shi4 jie4 he2 ping2
世界地图,carte du monde,shi4 jie4 di4 tu2
世界大战,guerre mondiale,shi4 jie4 da4 zhan4
世界报,Le Monde (journal),Shi4 jie4 Bao4
世界文化遗产,Patrimoine mondial,Shi4 jie4 Wen2 hua4 Yi2 chan3
世界杯,Coupe du Monde,Shi4 jie4 bei1
世界杯足球赛,Coupe du monde de la FIFA,shi4 jie4 bei1 zu2 qiu2 sai4
世界气象组织,Organisation météorologique mondiale,Shi4 jie4 Qi4 xiang4 Zu3 zhi1
世界知名,de renommée mondiale,shi4 jie4 zhi1 ming2
世界第一,numéro un dans le monde; premier mondial,shi4 jie4 di4 yi1
世界级,de classe mondiale,shi4 jie4 ji2
世界纪录,Record du monde,shi4 jie4 ji4 lu4
世界经济,économie mondiale,shi4 jie4 jing1 ji4
世界观,weltanschauung,shi4 jie4 guan1
世界语,espéranto,Shi4 jie4 yu3
世界贸易,Commerce international,shi4 jie4 mao4 yi4
世界贸易组织,Organisation mondiale du commerce,Shi4 jie4 Mao4 yi4 Zu3 zhi1
世界足球,World Soccer,shi4 jie4 zu2 qiu2
世界遗产,Patrimoine mondial,shi4 jie4 yi2 chan3
世界银行,Banque mondiale,Shi4 jie4 Yin2 hang2
世界风,World Wind,shi4 jie4 feng1
世系,généalogie,shi4 xi4
世纪,siècle,shi4 ji4
世纪末,piano-forte,shi4 ji4 mo4
世行,Banque Mondiale,Shi4 hang2
世袭,héréditaire,shi4 xi2
世贸,Organisation mondiale du commerce,Shi4 mao4
世贸组织,Organisation mondiale du commerce,Shi4 mao4 Zu3 zhi1
世道,usages du monde; moeurs de l'époque,shi4 dao4
世锦赛,Championnat du monde,shi4 jin3 sai4
世间,le Monde; la Terre,shi4 jian1
世面,divers aspects de la société; monde; société; vie,shi4 mian4
世风,moralité publique,shi4 feng1
丘,tertre; monticule; Confucius,qiu1
丘成桐,Shing-Tung Yau,Qiu1 Cheng2 tong2
丘比特,Cupidon,Qiu1 bi3 te4
丘疹,bouton,qiu1 zhen3
丘脑,thalamus,qiu1 nao3
丘陵,colline; coteau,qiu1 ling2
丙,bing (tronc céleste); troisième,bing3
丙二醇,Propylène glycol,bing3 er4 chun2
丙型肝炎,Hépatite C,bing3 xing2 gan1 yan2
丙基,Propyle,bing3 ji1
丙子,Bingzi,bing3 zi3
丙寅,Bingyin,bing3 yin2
丙戌,Bingxu,bing3 xu1
丙氨酸,alanine,bing3 an1 suan1
丙烯,propylène,bing3 xi1
丙烯腈,Acrylonitrile,bing3 xi1 jing1
丙烯酰胺,acrylamide,bing3 xi1 xian1 an4
丙烯酸,acide acrylique,bing3 xi1 suan1
丙烷,propane,bing3 wan2
丙申,Bingshen,bing3 shen1
丙纶,fibre polypropylène,bing3 lun2
丙酮,acétone,bing3 tong2
丙酮酸,Acide pyruvique,bing3 tong2 suan1
丙酸,Acide propanoïque,bing3 suan1
丙醇,propan-1-ol,bing3 chun2
业,office; industrie; affaire; étude; patrimoine; déjà,ye4
业主,propriétaire,ye4 zhu3
业余,amateur; loisir; en dehors du travail,ye4 yu2
业余时间,temps libre,ye4 yu2 shi2 jian1
业余爱好者,Amateur,ye4 yu2 ai4 hao3 zhe3
业务,métier; profession; activités; affaires,ye4 wu4
业务员,vendeur,ye4 wu4 yuan2
业务流程,Procédure d'entreprise,ye4 wu4 liu2 cheng2
业务科,Section des opérations,ye4 wu4 ke1
业务素质,qualité professionnelle,ye4 wu4 su4 zhi4
业务部,Département des opérations,ye4 wu4 bu4
业已,déjà,ye4 yi3
业态,commerce,ye4 tai4
业界,industrie,ye4 jie4
业绩,performance; résultats; exploit,ye4 ji4
业者,commerçant; personne engagée dans une industrie ou un commerce,ye4 zhe3
业障,Karma,ye4 zhang4
丛,touffe; bouquet,cong2
丛书,collection; une série de livres,cong2 shu1
丛林,jungle,cong2 lin2
丛生,pulluler; foisonner,cong2 sheng1
东,est; orient; hôte,dong1
东亚,Asie de l'Est,Dong1 ya4
东京,Tokyo,Dong1 jing1
东京大学,Université de Tokyo,Dong1 jing1 Da4 xue2
东京车展,Tokyo Motor Show,dong1 jing1 che1 zhan3
东京都,Tokyo,dong1 jing1 dou1
东侧,côté Est; face à l'Est,dong1 ce4
东北,nord-est,dong1 bei3
东北地方,Tohoku,dong1 bei3 di4 fang5
东北大学,Université Tohoku,Dong1 bei3 Da4 xue2
东北方,nord-est,dong1 bei3 fang1
东北菜,cuisine du Dongbei,dong1 bei3 cai4
东北虎,tigre de Sibérie,dong1 bei3 hu3
东北话,Mandarin du Nord-Est,dong1 bei3 hua4
东半球,Hémisphère Est,dong1 ban4 qiu2
东南,sud-est,dong1 nan2
东南亚,Asie du Sud-Est,Dong1 nan2 ya4
东南大学,Université du Sud-Est,Dong1 nan2 Da4 xue2
东南方,sud-est,dong1 nan2 fang1
东南西北,"est, sud, ouest et nord; toutes les directions",dong1 nan2 xi1 bei3
东南部,sud-est,dong1 nan2 bu4
东印度公司,Compagnie des Indes orientales,Dong1 Yin4 du4 Gong1 si1
东吴,Royaume de Wu,Dong1 Wu2
东周,dynastie des Zhou de l'Est,Dong1 Zhou1
东土,l'Est,Dong1 tu3
东坡肉,Dongpo rou,Dong1 po1 rou4
东大寺,Todai-ji,dong1 da4 si4
东夷,Yi (peuple ancien),Dong1 yi2
东奔西走,(expr. idiom.) courir à l'Est et aller à l'Ouest; courir dans tous les sens; courir à droite et à gauche; s'agiter en pure perte,dong1 ben1 xi1 zou3
东宫,Maison d'Orient,dong1 gong1
东家,maître; patron,dong1 jia1
东山再起,réapparaître sur la scène politique; organiser un retour,dong1 shan1 zai4 qi3
东岳,Tai Shan,dong1 yue4
东巴文,Écriture Dongba,dong1 ba1 wen2
东巴文化,Dongba,Dong1 ba1 wen2 hua4
东床快婿,Le bon gendre du lit de l'est (d'après la légende du calligraphe WANG Xizhi),dong1 chuang2 kuai4 xu4
东征,expédition punitive à l'Est,dong1 zheng1
东德,République démocratique allemande,Dong1 De2
东方,est; orient,dong1 fang1
东方卫视,Oriental TV Station,dong1 fang1 wei4 shi4
东方广场,Oriental Plaza,dong1 fang1 guang3 chang3
东方日报,Oriental Daily News,Dong1 fang1 Ri4 bao4
东映,Toei,dong1 ying4
东晋,dynastie des Jin Occidentaux,Dong1 Jin4
东欧,Europe de l'Est,Dong1 Ou1
东欧国家,pays d'Europe de l'est,dong1 ou1 guo2 jia1
东正教,Christianisme orthodoxe,Dong1 zheng4 jiao4
东汉,Han Orientaux,Dong1 han4
东江,Dong (fleuve),Dong1 jiang1
东洋,Orient,Dong1 yang2
东洋话,Japonais (langue) (arch.),Dong1 yang2 hua4
东洋鱿,Toutenon japonais; Todarodes pacificus,dong1 yang2 you2
东海,Mer de Chine orientale,Dong1 Hai3
东海岸,Côte Est,Dong1 hai3 an4
东海道,Tokaido,dong1 hai3 dao4
东滩,Dongtan,dong1 tan1
东盟,Association des nations de l'Asie du Sud-Est,Dong1 Meng2
东直门,Dongzhimen,Dong1 zhi2 men2
东突,Turkestan oriental,Dong1 Tu1
东经,longitude est,dong1 jing1
东航,China Eastern Airlines,dong1 hang2
东芝,Toshiba,Dong1 zhi1
东茅草盖,toit de chaume; toit de roseaux,dong1 mao2 cao3 gai4
东莞,Dongguan,Dong1 guan3
东西,chose; quelque chose; objet; sujet; créature,dong1 xi5
东西南北,"est,ouest, sud et nord",dong1 xi1 nan2 bei3
东西方,Est-Ouest,dong1 xi1 fang1
东边,coté est; à l'est,dong1 bian5
东道,hôte,dong1 dao4
东道主,hôte,dong1 dao4 zhu3
东道国,Etat hôte,dong1 dao4 guo2
东郊,banlieue Est,dong1 jiao1
东部,l'Est; la partie orientale,dong1 bu4
东非,Afrique de l'Est,dong1 Fei1
东面,est (direction),dong1 mian4
东风,dongfeng,dong1 feng1
东魏,Dynastie Wei de l'Est,Dong1 Wei4
丝,soie; fil; filament,si1
丝巾,foulard; voile; tour de cou en soie,si1 jin1
丝带,ruban,si1 dai4
丝毫,la moindre trace; rien,si1 hao2
丝氨酸,sérine,si1 an1 suan1
丝瓜,luffa,si1 gua1
丝线,fil de soie,si1 xian4
丝织品,soierie; tissus de soie,si1 zhi1 pin3
丝绒,velours,si1 rong2
丝绸,soie; vêtement de soie,si1 chou2
丝绸之路,Route de la soie,si1 chou2 zhi1 lu4
丝虫病,filariose,si1 chong2 bing4
丝袜,bas; collants,si1 wa4
丝路,Route de la soie,si1 lu4
丝雨,pluie fine; bruine,si1 yu3
丞,aider; assistant,cheng2
丞相,premier ministre,cheng2 xiang4
両,Tael,liang3
丢,perdre; lancer; jeter; abandonner; laisser,diu1
丢三落四,négligent et oublieux; égarer ceci et oublier cela,diu1 san1 la4 si4
丢下,abandonner,diu1 xia4
丢丑,perdre la face,diu1 chou3
丢人,perdre la face,diu1 ren2
丢失,perdre,diu1 shi1
丢官,(d'un officiel) perdre son travail,diu1 guan1
丢弃,abandonner; jeter,diu1 qi4
丢手,abandonner la partie,diu1 shou3
丢掉,perdre; jeter; se défaire (de); se débarrasser (de),diu1 diao4
